StartDate,EndDate,UpdateDate,StockCode,StockName,Broker,Type,Title,URL,title_str,stock_str
2020-01-15 10:00:00,,2020-01-13 11:35:43,002324,普利特,申万宏源研究,联合调研,普利特,https://www.kanzhiqiu.com/calendar/event.htm?id=26403,申万宏源研究**联合调研**普利特,"<b class=""stock"">002324普利特</b>"
2020-01-15 13:30:00,2020-01-15 17:00:00,2020-01-13 08:28:47,,,中银国际,周期沙龙,,https://www.kanzhiqiu.com/calendar/event.htm?id=26394,中银国际**周期沙龙,
2020-01-15 15:00:00,,2020-01-13 09:54:37,601166,兴业银行,华泰证券,联合调研,兴业银行,https://www.kanzhiqiu.com/calendar/event.htm?id=26397,华泰证券**联合调研**兴业银行,"<b class=""stock"">601166兴业银行</b>"
2020-01-16 10:00:00,,2020-01-13 09:54:37,002398,垒知集团,华泰证券,联合调研,垒知集团,https://www.kanzhiqiu.com/calendar/event.htm?id=26398,华泰证券**联合调研**垒知集团,"<b class=""stock"">002398垒知集团</b>"
2020-01-16 14:30:00,,2020-01-13 09:54:37,600036,招商银行,华泰证券,联合调研,招商银行,https://www.kanzhiqiu.com/calendar/event.htm?id=26399,华泰证券**联合调研**招商银行,"<b class=""stock"">600036招商银行</b>"
2020-01-17 08:00:00,,2020-01-09 17:24:56,,,高华证券,视频会议：美国半导体及设备2020年展望,,https://www.kanzhiqiu.com/calendar/event.htm?id=26354,高华证券**视频会议：美国半导体及设备2020年展望,
2020-01-17 09:00:00,,2020-01-13 14:37:08,,,BCA Research,电话会议,全球资产配置网络直播路演,https://www.kanzhiqiu.com/calendar/event.htm?id=26404,BCA Research**电话会议**全球资产配置网络直播路演,
2020-01-17 09:30:00,,2020-01-13 09:54:37,300737,科顺股份,华泰证券,联合调研,科顺股份,https://www.kanzhiqiu.com/calendar/event.htm?id=26400,华泰证券**联合调研**科顺股份,"<b class=""stock"">300737科顺股份</b>"
2020-01-17 10:15:00,2020-01-17 11:15:00,2020-01-14 16:42:05,JS,环球生活,申万宏源研究,电话会议,JS环球生活,https://www.kanzhiqiu.com/calendar/event.htm?id=26433,申万宏源研究**电话会议**JS环球生活,"<b class=""stock"">01691JS环球生活</b>"
2020-01-17 14:00:00,,2020-01-13 09:54:37,002949,华阳国际,华泰证券,联合调研,华阳国际,https://www.kanzhiqiu.com/calendar/event.htm?id=26401,华泰证券**联合调研**华阳国际,"<b class=""stock"">002949华阳国际</b>"
2020-01-18 20:00:00,2020-01-18 21:00:00,2020-01-17 16:38:19,,,申万宏源研究,电话会议,国网公司泛在业务进展、人事变动及产业发展解读,https://www.kanzhiqiu.com/calendar/event.htm?id=26456,申万宏源研究**电话会议**国网公司泛在业务进展、人事变动及产业发展解读,
2020-01-19 16:00:00,2020-01-19 17:00:00,2020-01-17 16:35:24,,,申万宏源研究,电话会议,新能源汽车产业链之八十六,https://www.kanzhiqiu.com/calendar/event.htm?id=26454,申万宏源研究**电话会议**新能源汽车产业链之八十六,
2020-01-19 19:00:00,2020-01-19 19:40:00,2020-01-17 16:37:08,,,申万宏源研究,电话会议,TMT四行业“洞见”,https://www.kanzhiqiu.com/calendar/event.htm?id=26455,申万宏源研究**电话会议**TMT四行业“洞见”,
2020-01-20 15:00:00,2020-01-20 16:00:00,2020-01-20 10:14:24,,,申万宏源研究,电话会议,新版“限塑令”投资机会解读,https://www.kanzhiqiu.com/calendar/event.htm?id=26473,申万宏源研究**电话会议**新版“限塑令”投资机会解读,
2020-01-22 16:30:00,,2020-01-22 15:07:44,,,高华证券,电话会议,冠状病毒影响分析,https://www.kanzhiqiu.com/calendar/event.htm?id=26533,高华证券**电话会议**冠状病毒影响分析,
2020-02-01 15:00:00,2020-02-01 16:00:00,2020-02-01 14:00:45,300294,博雅生物,国信证券,*电话会议,博雅生物：静丙在本次冠状病毒肺炎疫情和03年SARS疫情中的应用和贡献,https://www.kanzhiqiu.com/calendar/event.htm?id=26553,国信证券***电话会议**博雅生物：静丙在本次冠状病毒肺炎疫情和03年SARS疫情中的应用和贡献,"<b class=""stock"">300294博雅生物</b>"
2020-02-03 15:00:00,,2020-02-03 15:10:58,603365,水星家纺,天风证券,电话会议,水星家纺,https://www.kanzhiqiu.com/calendar/event.htm?id=26575,天风证券**电话会议**水星家纺,"<b class=""stock"">603365水星家纺</b>"
2020-02-03 15:00:00,,2020-02-03 15:12:14,002301,齐心集团,中信建投,电话会议,齐心集团,https://www.kanzhiqiu.com/calendar/event.htm?id=26576,中信建投**电话会议**齐心集团,"<b class=""stock"">002301齐心集团</b>"
2020-02-03 15:00:00,2020-02-03 16:30:00,2020-02-03 13:12:18,300075,数字政通,中金公司,电话会议,数字政通近期经营状况及未来发展战略交流,https://www.kanzhiqiu.com/calendar/event.htm?id=26574,中金公司**电话会议**数字政通近期经营状况及未来发展战略交流,"<b class=""stock"">300075数字政通</b>"
2020-02-03 17:00:00,,2020-02-03 15:13:36,603613,国联股份,兴业证券,电话会议,国联股份近期业务说明会,https://www.kanzhiqiu.com/calendar/event.htm?id=26577,兴业证券**电话会议**国联股份近期业务说明会,"<b class=""stock"">603613国联股份</b>"
2020-02-03 19:00:00,,2020-02-03 17:02:34,,,天风证券,电话会议,新型冠状病毒肺炎疫情影响下的餐饮产业链最新情况,https://www.kanzhiqiu.com/calendar/event.htm?id=26585,天风证券**电话会议**新型冠状病毒肺炎疫情影响下的餐饮产业链最新情况,
2020-02-03 19:30:00,2020-02-03 20:30:00,2020-02-03 16:38:45,,,国泰君安,电话会议,建筑,https://www.kanzhiqiu.com/calendar/event.htm?id=26581,国泰君安**电话会议**建筑,
2020-02-03 20:00:00,,2020-02-03 16:42:57,,,国海证券,电话会议,疫情冲击下，宏观经济和政策展望,https://www.kanzhiqiu.com/calendar/event.htm?id=26582,国海证券**电话会议**疫情冲击下，宏观经济和政策展望,
2020-02-03 20:30:00,,2020-02-03 15:18:17,,,高盛高华,电话会议,新型冠状病毒对全球宏观及市场影响,https://www.kanzhiqiu.com/calendar/event.htm?id=26578,高盛高华**电话会议**新型冠状病毒对全球宏观及市场影响,
2020-02-04 08:30:00,,2020-02-04 08:26:51,000703,恒逸石化,国金证券,电话会议,恒逸石化疫情对大炼化影响,https://www.kanzhiqiu.com/calendar/event.htm?id=26595,国金证券**电话会议**恒逸石化疫情对大炼化影响,"<b class=""stock"">000703恒逸石化</b>"
2020-02-04 09:40:00,,2020-02-04 09:49:24,601689,拓普集团,华创证券,电话会议,拓普集团近期情况交流,https://www.kanzhiqiu.com/calendar/event.htm?id=26612,华创证券**电话会议**拓普集团近期情况交流,"<b class=""stock"">601689拓普集团</b>"
2020-02-04 10:00:00,,2020-02-04 08:11:47,,,国盛证券,电话会议,新能源汽车核心企业节后经营情况交流,https://www.kanzhiqiu.com/calendar/event.htm?id=26588,国盛证券**电话会议**新能源汽车核心企业节后经营情况交流,
2020-02-04 10:00:00,,2020-02-04 08:13:24,000513,丽珠集团,国盛证券,电话会议,丽珠集团,https://www.kanzhiqiu.com/calendar/event.htm?id=26589,国盛证券**电话会议**丽珠集团,"<b class=""stock"">000513丽珠集团</b>"
2020-02-04 10:00:00,2020-02-04 11:00:00,2020-02-04 08:17:30,,,华兴资本,电话会议,宏观策略,https://www.kanzhiqiu.com/calendar/event.htm?id=26590,华兴资本**电话会议**宏观策略,
2020-02-04 10:00:00,,2020-02-04 08:49:57,002579,中京电子,中泰证券,电话会议,中京电子基本面解读,https://www.kanzhiqiu.com/calendar/event.htm?id=26602,中泰证券**电话会议**中京电子基本面解读,"<b class=""stock"">002579中京电子</b>"
2020-02-04 10:30:00,,2020-02-03 15:21:35,06068,睿见教育,兴业证券,电话会议,睿见教育,https://www.kanzhiqiu.com/calendar/event.htm?id=26579,兴业证券**电话会议**睿见教育,"<b class=""stock"">06068睿见教育</b>"
2020-02-04 13:00:00,,2020-02-04 11:22:10,300658,延江股份,广发证券,电话会议,延江股份投资者交流,https://www.kanzhiqiu.com/calendar/event.htm?id=26633,广发证券**电话会议**延江股份投资者交流,"<b class=""stock"">300658延江股份</b>"
2020-02-04 13:00:00,,2020-02-04 09:49:24,,,华创证券,电话会议,某自主龙头经销商疫情影响交流,https://www.kanzhiqiu.com/calendar/event.htm?id=26613,华创证券**电话会议**某自主龙头经销商疫情影响交流,
2020-02-04 13:30:00,,2020-02-04 11:22:10,,,广发证券,电话会议,玻璃行业近期运行情况和全年展望,https://www.kanzhiqiu.com/calendar/event.htm?id=26634,广发证券**电话会议**玻璃行业近期运行情况和全年展望,
2020-02-04 14:00:00,,2020-02-04 09:49:24,300258,精锻科技,华创证券,电话会议,精锻科技近期情况交流,https://www.kanzhiqiu.com/calendar/event.htm?id=26614,华创证券**电话会议**精锻科技近期情况交流,"<b class=""stock"">300258精锻科技</b>"
2020-02-04 14:00:00,,2020-02-04 08:49:57,300182,捷成股份,中泰证券,电话会议,捷成股份,https://www.kanzhiqiu.com/calendar/event.htm?id=26605,中泰证券**电话会议**捷成股份,"<b class=""stock"">300182捷成股份</b>"
2020-02-04 14:00:00,,2020-02-03 15:21:35,01317,枫叶教育,兴业证券,电话会议,枫叶教育,https://www.kanzhiqiu.com/calendar/event.htm?id=26580,兴业证券**电话会议**枫叶教育,"<b class=""stock"">01317枫叶教育</b>"
2020-02-04 15:00:00,,2020-02-04 09:49:24,600763,通策医疗,华创证券,电话会议,通策医疗,https://www.kanzhiqiu.com/calendar/event.htm?id=26615,华创证券**电话会议**通策医疗,"<b class=""stock"">600763通策医疗</b>"
2020-02-04 15:00:00,2020-02-04 16:00:00,2020-02-04 11:12:26,002756,永兴材料,东方证券,电话会议,永兴材料,https://www.kanzhiqiu.com/calendar/event.htm?id=26632,东方证券**电话会议**永兴材料,"<b class=""stock"">002756永兴材料</b>"
2020-02-04 15:00:00,,2020-02-04 08:31:43,300164,通源石油,国金证券,电话会议,通源石油,https://www.kanzhiqiu.com/calendar/event.htm?id=26597,国金证券**电话会议**通源石油,"<b class=""stock"">300164通源石油</b>"
2020-02-04 15:00:00,,2020-02-04 14:50:43,,,广发证券,电话会议,本轮疫情对生猪养殖板块的影响,https://www.kanzhiqiu.com/calendar/event.htm?id=26644,广发证券**电话会议**本轮疫情对生猪养殖板块的影响,
2020-02-04 15:30:00,,2020-02-04 08:21:17,603387,基蛋生物,国金证券,电话会议,基蛋生物：POCT产品在2019-nCOV疫情中应用专题,https://www.kanzhiqiu.com/calendar/event.htm?id=26592,国金证券**电话会议**基蛋生物：POCT产品在2019-nCOV疫情中应用专题,"<b class=""stock"">603387基蛋生物</b>"
2020-02-04 15:30:00,,2020-02-04 14:38:37,,,长江证券,电话会议,家电板块年报前瞻及行业最新观点,https://www.kanzhiqiu.com/calendar/event.htm?id=26640,长江证券**电话会议**家电板块年报前瞻及行业最新观点,
2020-02-04 15:30:00,2020-02-04 16:30:00,2020-02-04 15:35:54,,,东兴证券,电话会议,基于SARS经验看新冠肺炎疫情发展,https://www.kanzhiqiu.com/calendar/event.htm?id=26654,东兴证券**电话会议**基于SARS经验看新冠肺炎疫情发展,
