StartDate,EndDate,UpdateDate,StockCode,StockName,Broker,Type,Title,URL,title_str,stock_str
2020-09-16 00:00:00,2020-09-18 11:00:00,2020-08-27 13:06:49,,,国信证券,策略会,2020年上市公司面对面线下交流,https://www.kanzhiqiu.com/calendar/event.htm?id=37698,国信证券**策略会**2020年上市公司面对面线下交流,
2020-09-16 00:00:00,,2020-09-14 09:59:58,,,天风证券,联合调研,常州装备制造中心,https://www.kanzhiqiu.com/calendar/event.htm?id=38355,天风证券**联合调研**常州装备制造中心,
2020-09-16 00:00:00,,2020-09-14 09:20:57,600456,宝钛股份,国信证券,联合调研,宝钛股份,https://www.kanzhiqiu.com/calendar/event.htm?id=38338,国信证券**联合调研**宝钛股份,"<b class=""stock"">600456宝钛股份</b>"
2020-09-16 00:00:00,,2020-09-14 09:59:58,,,天风证券,联合调研,蚌埠凤阳生物质项目,https://www.kanzhiqiu.com/calendar/event.htm?id=38356,天风证券**联合调研**蚌埠凤阳生物质项目,
2020-09-16 09:00:00,,2020-09-14 09:59:58,,,天风证券,联合调研,常德市城市建设投资集团有限公司,https://www.kanzhiqiu.com/calendar/event.htm?id=38357,天风证券**联合调研**常德市城市建设投资集团有限公司,
2020-09-16 10:00:00,,2020-09-15 13:09:23,002927,泰永长征,中泰证券,联合调研,泰永长征,https://www.kanzhiqiu.com/calendar/event.htm?id=38413,中泰证券**联合调研**泰永长征,"<b class=""stock"">002927泰永长征</b>"
2020-09-16 10:00:00,,2020-09-14 09:59:58,ST,*湘电,天风证券,电话会议,*ST湘电：公司最新解读,https://www.kanzhiqiu.com/calendar/event.htm?id=38360,天风证券**电话会议***ST湘电：公司最新解读,"<b class=""stock"">600416*ST湘电</b>"
2020-09-16 13:30:00,,2020-09-16 09:15:32,,,国信证券,电话会议,医疗信息化（1）,https://www.kanzhiqiu.com/calendar/event.htm?id=38440,国信证券**电话会议**医疗信息化（1）,
2020-09-16 14:00:00,,2020-09-14 09:04:05,601336,新华保险,申万宏源研究,电话会议,新华保险,https://www.kanzhiqiu.com/calendar/event.htm?id=38330,申万宏源研究**电话会议**新华保险,"<b class=""stock"">601336新华保险</b>"
2020-09-16 14:00:00,2020-09-16 15:40:00,2020-09-16 09:15:32,,,国信证券,电话会议,四季度宏观经济展望等,https://www.kanzhiqiu.com/calendar/event.htm?id=38439,国信证券**电话会议**四季度宏观经济展望等,
2020-09-16 14:00:00,,2020-09-14 09:59:58,,,天风证券,联合调研,常德市经济建设投资集团有限公司,https://www.kanzhiqiu.com/calendar/event.htm?id=38358,天风证券**联合调研**常德市经济建设投资集团有限公司,
2020-09-16 15:30:00,,2020-09-14 09:40:35,600660,福耀玻璃,国信证券,电话会议,福耀玻璃 ,https://www.kanzhiqiu.com/calendar/event.htm?id=38339,国信证券**电话会议**福耀玻璃 ,"<b class=""stock"">600660福耀玻璃</b>"
2020-09-16 16:00:00,,2020-09-14 09:59:58,,,天风证券,联合调研,湖南常德市德源投资开发有限公司,https://www.kanzhiqiu.com/calendar/event.htm?id=38359,天风证券**联合调研**湖南常德市德源投资开发有限公司,
2020-09-16 20:00:00,,2020-09-14 09:40:35,600809,山西汾酒,国信证券,电话会议,山西汾酒省内经销商交流,https://www.kanzhiqiu.com/calendar/event.htm?id=38340,国信证券**电话会议**山西汾酒省内经销商交流,"<b class=""stock"">600809山西汾酒</b>"
2020-09-16 20:00:00,,2020-09-16 09:15:32,,,国信证券,电话会议,医疗信息化（2）,https://www.kanzhiqiu.com/calendar/event.htm?id=38441,国信证券**电话会议**医疗信息化（2）,
2020-09-17 00:00:00,,2020-09-13 18:07:57,,,兴业证券,联合调研,湖南养殖链,https://www.kanzhiqiu.com/calendar/event.htm?id=38311,兴业证券**联合调研**湖南养殖链,
2020-09-17 00:00:00,,2020-09-14 09:59:58,,,天风证券,联合调研,新沂危废项目,https://www.kanzhiqiu.com/calendar/event.htm?id=38361,天风证券**联合调研**新沂危废项目,
2020-09-17 08:30:00,2020-09-18 17:00:00,2020-08-28 14:38:45,,,开源证券,策略会, 2020 年度秋季投资策略会,https://www.kanzhiqiu.com/calendar/event.htm?id=37790,开源证券**策略会** 2020 年度秋季投资策略会,
2020-09-17 09:00:00,,2020-09-14 09:59:58,,,天风证券,联合调研,益阳市城市建设投资开发有限责任公司,https://www.kanzhiqiu.com/calendar/event.htm?id=38362,天风证券**联合调研**益阳市城市建设投资开发有限责任公司,
2020-09-17 11:00:00,,2020-09-14 09:59:58,,,天风证券,联合调研,岳阳经开&岳阳洞庭新城,https://www.kanzhiqiu.com/calendar/event.htm?id=38363,天风证券**联合调研**岳阳经开&岳阳洞庭新城,
2020-09-17 13:30:00,2020-09-17 15:30:00,2020-09-14 14:19:03,,,兴业证券,联合调研,“走进福昕”董事长交流,https://www.kanzhiqiu.com/calendar/event.htm?id=38377,兴业证券**联合调研**“走进福昕”董事长交流,
2020-09-17 13:30:00,2020-09-17 14:30:00,2020-09-16 08:59:34,832887,如涵控股,国泰君安,联合调研,如涵控股,https://www.kanzhiqiu.com/calendar/event.htm?id=38436,国泰君安**联合调研**如涵控股,"<b class=""stock"">832887如涵控股</b>"
2020-09-17 13:30:00,,2020-09-10 14:13:54,,,申万宏源研究,其他,均胜安全（临港）开放日活动,https://www.kanzhiqiu.com/calendar/event.htm?id=38245,申万宏源研究**其他**均胜安全（临港）开放日活动,
2020-09-17 14:00:00,,2020-09-14 09:40:35,002957,科瑞技术,国信证券,联合调研,科瑞技术,https://www.kanzhiqiu.com/calendar/event.htm?id=38342,国信证券**联合调研**科瑞技术,"<b class=""stock"">002957科瑞技术</b>"
2020-09-17 14:00:00,,2020-09-14 09:59:58,,,天风证券,联合调研,益阳市交通发展投资有限责任公司,https://www.kanzhiqiu.com/calendar/event.htm?id=38364,天风证券**联合调研**益阳市交通发展投资有限责任公司,
2020-09-17 14:00:00,,2020-09-14 16:14:47,002833,弘亚数控,申万宏源研究,联合调研,弘亚数控,https://www.kanzhiqiu.com/calendar/event.htm?id=38385,申万宏源研究**联合调研**弘亚数控,"<b class=""stock"">002833弘亚数控</b>"
2020-09-17 14:00:00,,2020-09-17 13:49:37,,,国金证券,电话会议,国庆档主题投资系列,https://www.kanzhiqiu.com/calendar/event.htm?id=38461,国金证券**电话会议**国庆档主题投资系列,
2020-09-17 15:00:00,,2020-09-11 17:13:49,,,申万宏源研究,电话会议,览全局、析个券——闲话可转债,https://www.kanzhiqiu.com/calendar/event.htm?id=38293,申万宏源研究**电话会议**览全局、析个券——闲话可转债,
2020-09-17 15:30:00,,2020-09-14 09:40:35,002594,比亚迪,国信证券,电话会议,比亚迪 ,https://www.kanzhiqiu.com/calendar/event.htm?id=38341,国信证券**电话会议**比亚迪 ,"<b class=""stock"">002594比亚迪</b>"
2020-09-17 15:30:00,,2020-09-17 08:02:55,002714,牧原股份,长江证券,电话会议,牧原股份最新情况交流,https://www.kanzhiqiu.com/calendar/event.htm?id=38451,长江证券**电话会议**牧原股份最新情况交流,"<b class=""stock"">002714牧原股份</b>"
2020-09-17 15:30:00,2020-09-17 16:30:00,2020-09-16 08:59:34,MOGU,蘑菇街,国泰君安,联合调研,蘑菇街,https://www.kanzhiqiu.com/calendar/event.htm?id=38437,国泰君安**联合调研**蘑菇街,"<b class=""stock"">MOGU蘑菇街</b>"
2020-09-17 16:00:00,,2020-09-14 09:59:58,,,天风证券,联合调研,益阳高新产业发展投资集团有限公司,https://www.kanzhiqiu.com/calendar/event.htm?id=38365,天风证券**联合调研**益阳高新产业发展投资集团有限公司,
2020-09-17 19:00:00,,2020-09-17 08:02:55,,,长江证券,电话会议,鹏华基金联合会议：借道鹏华酒ETF共享酒类板块投资盛宴,https://www.kanzhiqiu.com/calendar/event.htm?id=38452,长江证券**电话会议**鹏华基金联合会议：借道鹏华酒ETF共享酒类板块投资盛宴,
2020-09-17 19:00:00,2020-09-17 20:00:00,2020-09-17 11:03:29,,,申万宏源研究,电话会议,白酒专家交流,https://www.kanzhiqiu.com/calendar/event.htm?id=38458,申万宏源研究**电话会议**白酒专家交流,
2020-09-17 20:00:00,,2020-09-17 08:02:55,,,长江证券,电话会议,山西次高端酒省内新情况跟踪（山西次高端酒经销商）,https://www.kanzhiqiu.com/calendar/event.htm?id=38453,长江证券**电话会议**山西次高端酒省内新情况跟踪（山西次高端酒经销商）,
2020-09-17 20:10:00,2020-09-17 21:10:00,2020-09-17 11:16:35,,,申万宏源研究,电话会议,白酒专家讲酱香,https://www.kanzhiqiu.com/calendar/event.htm?id=38459,申万宏源研究**电话会议**白酒专家讲酱香,
2020-09-18 00:00:00,,2020-09-13 18:07:58,,,兴业证券,联合调研,湖南种植链,https://www.kanzhiqiu.com/calendar/event.htm?id=38312,兴业证券**联合调研**湖南种植链,
2020-09-18 09:00:00,,2020-09-14 09:59:58,,,天风证券,联合调研,湘潭九华经济建设投资有限公司,https://www.kanzhiqiu.com/calendar/event.htm?id=38370,天风证券**联合调研**湘潭九华经济建设投资有限公司,
2020-09-18 09:00:00,2020-09-18 10:30:00,2020-09-14 11:14:59,603558,健盛集团,华西证券,联合调研,健盛集团,https://www.kanzhiqiu.com/calendar/event.htm?id=38375,华西证券**联合调研**健盛集团,"<b class=""stock"">603558健盛集团</b>"
2020-09-18 09:00:00,,2020-09-14 09:59:58,,,天风证券,联合调研,株洲市城市建设发展集团有限公司,https://www.kanzhiqiu.com/calendar/event.htm?id=38366,天风证券**联合调研**株洲市城市建设发展集团有限公司,
2020-09-18 10:00:00,2020-09-18 13:30:00,2020-09-16 07:57:20,002153,石基信息,兴业证券,电话会议,石基信息投资者线上交流,https://www.kanzhiqiu.com/calendar/event.htm?id=38433,兴业证券**电话会议**石基信息投资者线上交流,"<b class=""stock"">002153石基信息</b>"
2020-09-18 10:00:00,,2020-09-14 09:40:35,000860,顺鑫农业,国信证券,联合调研,顺鑫农业北京经销商交流,https://www.kanzhiqiu.com/calendar/event.htm?id=38343,国信证券**联合调研**顺鑫农业北京经销商交流,"<b class=""stock"">000860顺鑫农业</b>"
2020-09-18 10:00:00,,2020-09-14 09:04:05,601628,中国人寿,申万宏源研究,电话会议,中国人寿,https://www.kanzhiqiu.com/calendar/event.htm?id=38331,申万宏源研究**电话会议**中国人寿,"<b class=""stock"">601628中国人寿</b>"
2020-09-18 11:00:00,,2020-09-14 09:59:58,,,天风证券,联合调研,株洲市国有资产投资控股集团有限公司,https://www.kanzhiqiu.com/calendar/event.htm?id=38368,天风证券**联合调研**株洲市国有资产投资控股集团有限公司,
2020-09-18 13:30:00,2020-09-18 15:00:00,2020-09-09 14:21:14,02313,申洲国际,华西证券,联合调研,申洲国际,https://www.kanzhiqiu.com/calendar/event.htm?id=38232,华西证券**联合调研**申洲国际,"<b class=""stock"">02313申洲国际</b>"
2020-09-18 14:00:00,,2020-09-14 16:14:47,688559,海目星,申万宏源研究,联合调研,海目星,https://www.kanzhiqiu.com/calendar/event.htm?id=38386,申万宏源研究**联合调研**海目星,"<b class=""stock"">688559海目星</b>"
2020-09-18 14:00:00,,2020-09-18 09:14:08,300750,宁德时代,广发证券,电话会议,宁德时代参股运营情况,https://www.kanzhiqiu.com/calendar/event.htm?id=38480,广发证券**电话会议**宁德时代参股运营情况,"<b class=""stock"">300750宁德时代</b>"
2020-09-18 14:00:00,,2020-09-14 09:59:58,,,天风证券,联合调研,湖南天易集团有限公司,https://www.kanzhiqiu.com/calendar/event.htm?id=38367,天风证券**联合调研**湖南天易集团有限公司,
2020-09-18 14:00:00,,2020-09-14 09:59:58,,,天风证券,联合调研,湘潭高新集团有限公司,https://www.kanzhiqiu.com/calendar/event.htm?id=38371,天风证券**联合调研**湘潭高新集团有限公司,
2020-09-18 15:00:00,2020-09-18 16:00:00,2020-09-18 10:36:56,,,申万宏源研究,电话会议,酱酒深度报告交流：酱香潮起，沉者为金,https://www.kanzhiqiu.com/calendar/event.htm?id=38482,申万宏源研究**电话会议**酱酒深度报告交流：酱香潮起，沉者为金,
