StartDate,EndDate,UpdateDate,StockCode,StockName,Broker,Type,Title,URL,title_str,stock_str
2020-02-07 09:00:00,,2020-02-07 09:21:29,002110,三钢闽光,长江证券,电话会议,三钢闽光,https://www.kanzhiqiu.com/calendar/event.htm?id=26849,长江证券**电话会议**三钢闽光,"<b class=""stock"">002110三钢闽光</b>"
2020-02-07 09:00:00,,2020-02-06 08:33:44,603825,华扬联众,中泰证券,电话会议,华扬联众,https://www.kanzhiqiu.com/calendar/event.htm?id=26745,中泰证券**电话会议**华扬联众,"<b class=""stock"">603825华扬联众</b>"
2020-02-07 09:00:00,,2020-02-06 08:33:44,002461,珠江啤酒,中泰证券,电话会议,珠江啤酒,https://www.kanzhiqiu.com/calendar/event.htm?id=26746,中泰证券**电话会议**珠江啤酒,"<b class=""stock"">002461珠江啤酒</b>"
2020-02-07 09:30:00,,2020-02-07 09:10:45,300590,移为通信,中信证券,电话会议,移为通信高管解读经营状况和业务展望,https://www.kanzhiqiu.com/calendar/event.htm?id=26848,中信证券**电话会议**移为通信高管解读经营状况和业务展望,"<b class=""stock"">300590移为通信</b>"
2020-02-07 09:30:00,,2020-02-07 08:59:37,00382,中汇集团,天风证券,电话会议,中汇集团公司交流,https://www.kanzhiqiu.com/calendar/event.htm?id=26846,天风证券**电话会议**中汇集团公司交流,"<b class=""stock"">00382中汇集团</b>"
2020-02-07 10:00:00,,2020-02-07 08:35:39,002261,拓维信息,西南证券,电话会议,拓维信息,https://www.kanzhiqiu.com/calendar/event.htm?id=26841,西南证券**电话会议**拓维信息,"<b class=""stock"">002261拓维信息</b>"
2020-02-07 10:00:00,,2020-02-06 08:33:44,300623,捷捷微电,中泰证券,电话会议,捷捷微电,https://www.kanzhiqiu.com/calendar/event.htm?id=26747,中泰证券**电话会议**捷捷微电,"<b class=""stock"">300623捷捷微电</b>"
2020-02-07 10:00:00,,2020-02-07 08:35:39,603379,三美股份,西南证券,电话会议,三美股份,https://www.kanzhiqiu.com/calendar/event.htm?id=26840,西南证券**电话会议**三美股份,"<b class=""stock"">603379三美股份</b>"
2020-02-07 10:00:00,,2020-02-07 08:35:39,300235,方直科技,西南证券,电话会议,方直科技,https://www.kanzhiqiu.com/calendar/event.htm?id=26842,西南证券**电话会议**方直科技,"<b class=""stock"">300235方直科技</b>"
2020-02-07 10:00:00,,2020-02-07 09:36:26,,,天风证券,电话会议,头部MCN如涵如何看待疫情下网红电商行业机会,https://www.kanzhiqiu.com/calendar/event.htm?id=26850,天风证券**电话会议**头部MCN如涵如何看待疫情下网红电商行业机会,
2020-02-07 10:00:00,,2020-02-05 11:19:56,600699,均胜电子,方正证券,电话会议,均胜电子,https://www.kanzhiqiu.com/calendar/event.htm?id=26700,方正证券**电话会议**均胜电子,"<b class=""stock"">600699均胜电子</b>"
2020-02-07 10:15:00,2020-02-07 11:00:00,2020-02-07 08:31:53,,,申万宏源研究,电话会议,春节草根见闻从微观看中国,https://www.kanzhiqiu.com/calendar/event.htm?id=26839,申万宏源研究**电话会议**春节草根见闻从微观看中国,
2020-02-07 10:30:00,,2020-02-07 10:10:15,000887,中鼎股份,天风证券,电话会议,中鼎股份,https://www.kanzhiqiu.com/calendar/event.htm?id=26863,天风证券**电话会议**中鼎股份,"<b class=""stock"">000887中鼎股份</b>"
2020-02-07 10:30:00,,2020-02-07 10:20:42,300044,赛为智能,东兴证券,电话会议,赛为智能,https://www.kanzhiqiu.com/calendar/event.htm?id=26876,东兴证券**电话会议**赛为智能,"<b class=""stock"">300044赛为智能</b>"
2020-02-07 10:30:00,2020-02-07 11:30:00,2020-02-07 11:08:38,,,中泰证券,电话会议,芒果TV 突围、拓圈进行时(多角度对比腾讯视频),https://www.kanzhiqiu.com/calendar/event.htm?id=26895,中泰证券**电话会议**芒果TV 突围、拓圈进行时(多角度对比腾讯视频),
