StartDate,EndDate,UpdateDate,StockCode,StockName,Broker,Type,Title,URL,title_str,stock_str
2020-02-15 10:00:00,,2020-02-15 09:34:20,,,申万宏源研究,电话会议,再融资新规解读,https://www.kanzhiqiu.com/calendar/event.htm?id=27563,申万宏源研究**电话会议**再融资新规解读,
2020-02-15 14:00:00,,2020-02-14 22:01:04,,,安信证券,电话会议,北美IDC 400G光模块市场爆发,https://www.kanzhiqiu.com/calendar/event.htm?id=27561,安信证券**电话会议**北美IDC 400G光模块市场爆发,
2020-02-16 13:00:00,,2020-02-15 20:42:37,,,申万宏源研究,电话会议,国外蝗虫灾害&国内延迟复工对农药价格影响,https://www.kanzhiqiu.com/calendar/event.htm?id=27570,申万宏源研究**电话会议**国外蝗虫灾害&国内延迟复工对农药价格影响,
2020-02-16 14:00:00,,2020-02-16 08:48:38,,,申万宏源研究,电话会议,磷肥行业现状解析及未来趋势展望,https://www.kanzhiqiu.com/calendar/event.htm?id=27577,申万宏源研究**电话会议**磷肥行业现状解析及未来趋势展望,
2020-02-16 14:30:00,2020-02-16 15:00:00,2020-02-15 21:17:46,,,申万宏源研究,电话会议,多国蝗灾来袭，对资产配置影响几何？,https://www.kanzhiqiu.com/calendar/event.htm?id=27576,申万宏源研究**电话会议**多国蝗灾来袭，对资产配置影响几何？,
2020-02-16 14:30:00,,2020-02-15 15:26:10,,,申万宏源研究,电话会议,大型钛产业贸易平台专家会,https://www.kanzhiqiu.com/calendar/event.htm?id=27564,申万宏源研究**电话会议**大型钛产业贸易平台专家会,
2020-02-16 15:00:00,,2020-02-12 20:53:01,,,东北证券,电话会议,建筑行业开工复工情况联合,https://www.kanzhiqiu.com/calendar/event.htm?id=27406,东北证券**电话会议**建筑行业开工复工情况联合,
2020-02-16 15:00:00,,2020-02-15 21:01:01,002791,坚朗五金,东北证券,电话会议,坚朗五金,https://www.kanzhiqiu.com/calendar/event.htm?id=27571,东北证券**电话会议**坚朗五金,"<b class=""stock"">002791坚朗五金</b>"
2020-02-16 15:00:00,,2020-02-16 12:22:19,300454,深信服,申万宏源研究,电话会议,深信服:详细分析深信服成长逻辑，千亿市值起点的详细解析与测算,https://www.kanzhiqiu.com/calendar/event.htm?id=27578,申万宏源研究**电话会议**深信服:详细分析深信服成长逻辑，千亿市值起点的详细解析与测算,"<b class=""stock"">300454深信服</b>"
2020-02-16 16:00:00,,2020-02-15 21:01:01,688258,卓易信息,东北证券,电话会议,卓易信息深度报告讲解,https://www.kanzhiqiu.com/calendar/event.htm?id=27573,东北证券**电话会议**卓易信息深度报告讲解,"<b class=""stock"">688258卓易信息</b>"
2020-02-16 18:00:00,2020-02-16 19:00:00,2020-02-16 16:33:12,,,申万宏源研究,电话会议,年内债券市场走势判断,https://www.kanzhiqiu.com/calendar/event.htm?id=27579,申万宏源研究**电话会议**年内债券市场走势判断,
2020-02-16 19:00:00,,2020-02-16 16:35:19,,,长江证券,电话会议,Wifi6行业探讨,https://www.kanzhiqiu.com/calendar/event.htm?id=27580,长江证券**电话会议**Wifi6行业探讨,
2020-02-16 19:00:00,,2020-02-15 15:33:37,,,申万宏源研究,电话会议,TMT海外每周“洞见”,https://www.kanzhiqiu.com/calendar/event.htm?id=27566,申万宏源研究**电话会议**TMT海外每周“洞见”,
2020-02-16 19:00:00,,2020-02-16 17:12:20,,,国金证券,电话会议,疫情中的最新用电量数据解读,https://www.kanzhiqiu.com/calendar/event.htm?id=27587,国金证券**电话会议**疫情中的最新用电量数据解读,
2020-02-16 19:00:00,,2020-02-16 16:38:00,,,长江证券,电话会议,中核钛白经营情况,https://www.kanzhiqiu.com/calendar/event.htm?id=27581,长江证券**电话会议**中核钛白经营情况,
2020-02-16 19:00:00,,2020-02-15 21:01:01,,,东北证券,电话会议,异质结电池专家会,https://www.kanzhiqiu.com/calendar/event.htm?id=27574,东北证券**电话会议**异质结电池专家会,
2020-02-16 19:00:00,,2020-02-14 08:32:57,300384,三联虹普,安信证券,电话会议,三联虹普高管交流,https://www.kanzhiqiu.com/calendar/event.htm?id=27514,安信证券**电话会议**三联虹普高管交流,"<b class=""stock"">300384三联虹普</b>"
2020-02-16 19:30:00,,2020-02-16 17:08:14,,,兴业证券,电话会议,首席之声:一周一会（第189期）,https://www.kanzhiqiu.com/calendar/event.htm?id=27585,兴业证券**电话会议**首席之声:一周一会（第189期）,
