StartDate,EndDate,UpdateDate,StockCode,StockName,Broker,Type,Title,URL,title_str,stock_str
2020-07-07 00:00:00,,2020-07-06 10:44:02,000550,江铃汽车,平安证券,联合调研,江铃汽车,https://www.kanzhiqiu.com/calendar/event.htm?id=35702,平安证券**联合调研**江铃汽车,"<b class=""stock"">000550江铃汽车</b>"
2020-07-07 08:30:00,,2020-07-06 16:46:58,,,汇丰前海,电话会议,电商平台dynamics与数字营销趋势,https://www.kanzhiqiu.com/calendar/event.htm?id=35720,汇丰前海**电话会议**电商平台dynamics与数字营销趋势,
2020-07-07 08:30:00,,2020-07-06 16:46:58,,,汇丰前海,电话会议,对话康耐视中国最大授权服务商,https://www.kanzhiqiu.com/calendar/event.htm?id=35719,汇丰前海**电话会议**对话康耐视中国最大授权服务商,
2020-07-07 09:00:00,2020-07-07 16:50:00,2020-07-06 16:50:14,,,国信证券,电话会议,中期策略会,https://www.kanzhiqiu.com/calendar/event.htm?id=35733,国信证券**电话会议**中期策略会,
2020-07-07 09:00:00,,2020-07-02 17:21:33,601012,隆基股份,东北证券,电话会议,隆基股份,https://www.kanzhiqiu.com/calendar/event.htm?id=35523,东北证券**电话会议**隆基股份,"<b class=""stock"">601012隆基股份</b>"
2020-07-07 09:00:00,,2020-07-02 17:21:33,600466,蓝光发展,东北证券,电话会议,蓝光发展,https://www.kanzhiqiu.com/calendar/event.htm?id=35524,东北证券**电话会议**蓝光发展,"<b class=""stock"">600466蓝光发展</b>"
2020-07-07 09:30:00,,2020-07-06 16:46:58,300012,华测检测,汇丰前海,电话会议,华测检测,https://www.kanzhiqiu.com/calendar/event.htm?id=35721,汇丰前海**电话会议**华测检测,"<b class=""stock"">300012华测检测</b>"
2020-07-07 10:00:00,,2020-07-02 17:21:33,002605,姚记科技,东北证券,电话会议,姚记科技,https://www.kanzhiqiu.com/calendar/event.htm?id=35534,东北证券**电话会议**姚记科技,"<b class=""stock"">002605姚记科技</b>"
2020-07-07 10:00:00,,2020-07-02 17:21:33,600655,豫园股份,东北证券,电话会议,豫园股份,https://www.kanzhiqiu.com/calendar/event.htm?id=35535,东北证券**电话会议**豫园股份,"<b class=""stock"">600655豫园股份</b>"
2020-07-07 10:00:00,,2020-07-02 17:21:33,01992,复星旅游文化,东北证券,电话会议,复星旅游文化,https://www.kanzhiqiu.com/calendar/event.htm?id=35536,东北证券**电话会议**复星旅游文化,"<b class=""stock"">01992复星旅游文化</b>"
2020-07-07 10:00:00,,2020-07-02 17:21:33,002946,新乳业,东北证券,电话会议,新乳业,https://www.kanzhiqiu.com/calendar/event.htm?id=35537,东北证券**电话会议**新乳业,"<b class=""stock"">002946新乳业</b>"
2020-07-07 10:00:00,,2020-07-02 17:21:33,300497,富祥药业,东北证券,电话会议,富祥药业,https://www.kanzhiqiu.com/calendar/event.htm?id=35538,东北证券**电话会议**富祥药业,"<b class=""stock"">300497富祥药业</b>"
2020-07-07 10:00:00,,2020-07-02 17:21:33,300122,智飞生物,东北证券,电话会议,智飞生物,https://www.kanzhiqiu.com/calendar/event.htm?id=35539,东北证券**电话会议**智飞生物,"<b class=""stock"">300122智飞生物</b>"
2020-07-07 10:00:00,,2020-07-02 17:21:33,002812,恩捷股份,东北证券,电话会议,恩捷股份,https://www.kanzhiqiu.com/calendar/event.htm?id=35540,东北证券**电话会议**恩捷股份,"<b class=""stock"">002812恩捷股份</b>"
2020-07-07 10:00:00,,2020-07-02 17:21:33,300197,铁汉生态,东北证券,电话会议,铁汉生态,https://www.kanzhiqiu.com/calendar/event.htm?id=35532,东北证券**电话会议**铁汉生态,"<b class=""stock"">300197铁汉生态</b>"
2020-07-07 10:00:00,,2020-07-02 17:21:33,601021,春秋航空,东北证券,电话会议,春秋航空,https://www.kanzhiqiu.com/calendar/event.htm?id=35533,东北证券**电话会议**春秋航空,"<b class=""stock"">601021春秋航空</b>"
2020-07-07 10:00:00,,2020-07-02 17:21:33,000555,神州信息,东北证券,电话会议,神州信息,https://www.kanzhiqiu.com/calendar/event.htm?id=35531,东北证券**电话会议**神州信息,"<b class=""stock"">000555神州信息</b>"
2020-07-07 10:00:00,,2020-07-02 17:21:33,603010,万盛股份,东北证券,电话会议,万盛股份,https://www.kanzhiqiu.com/calendar/event.htm?id=35530,东北证券**电话会议**万盛股份,"<b class=""stock"">603010万盛股份</b>"
2020-07-07 10:00:00,,2020-07-02 17:21:33,300416,苏试试验,东北证券,电话会议,苏试试验,https://www.kanzhiqiu.com/calendar/event.htm?id=35529,东北证券**电话会议**苏试试验,"<b class=""stock"">300416苏试试验</b>"
2020-07-07 10:00:00,,2020-07-02 17:21:33,00884,旭辉控股集团,东北证券,电话会议,旭辉集团,https://www.kanzhiqiu.com/calendar/event.htm?id=35528,东北证券**电话会议**旭辉集团,"<b class=""stock"">00884旭辉控股集团</b>"
2020-07-07 10:00:00,,2020-07-02 17:21:33,300115,长盈精密,东北证券,电话会议,长盈精密,https://www.kanzhiqiu.com/calendar/event.htm?id=35527,东北证券**电话会议**长盈精密,"<b class=""stock"">300115长盈精密</b>"
2020-07-07 10:00:00,,2020-07-02 17:21:33,002459,晶澳科技,东北证券,电话会议,晶澳科技,https://www.kanzhiqiu.com/calendar/event.htm?id=35526,东北证券**电话会议**晶澳科技,"<b class=""stock"">002459晶澳科技</b>"
2020-07-07 10:00:00,,2020-07-02 17:21:33,300785,值得买,东北证券,电话会议,值得买,https://www.kanzhiqiu.com/calendar/event.htm?id=35525,东北证券**电话会议**值得买,"<b class=""stock"">300785值得买</b>"
2020-07-07 10:00:00,,2020-07-06 16:46:58,002461,珠江啤酒,汇丰前海,电话会议,珠江啤酒,https://www.kanzhiqiu.com/calendar/event.htm?id=35722,汇丰前海**电话会议**珠江啤酒,"<b class=""stock"">002461珠江啤酒</b>"
2020-07-07 10:30:00,,2020-07-07 07:49:21,,,中信证券,电话会议,近期动力煤市场展望,https://www.kanzhiqiu.com/calendar/event.htm?id=35737,中信证券**电话会议**近期动力煤市场展望,
2020-07-07 11:00:00,,2020-07-02 17:21:33,002775,文科园林,东北证券,电话会议,文科园林,https://www.kanzhiqiu.com/calendar/event.htm?id=35543,东北证券**电话会议**文科园林,"<b class=""stock"">002775文科园林</b>"
2020-07-07 11:00:00,,2020-07-02 17:21:33,688299,长阳科技,东北证券,电话会议,长阳科技,https://www.kanzhiqiu.com/calendar/event.htm?id=35541,东北证券**电话会议**长阳科技,"<b class=""stock"">688299长阳科技</b>"
2020-07-07 11:00:00,,2020-07-02 17:21:33,002777,久远银海,东北证券,电话会议,久远银海,https://www.kanzhiqiu.com/calendar/event.htm?id=35542,东北证券**电话会议**久远银海,"<b class=""stock"">002777久远银海</b>"
